unit_id	code	src_file	read_lines	user	assistant	tool	result	out_lines	status
P1.EX.033	C	27bfc299-c0dc-4351-9e1a-d8111b297ebd.jsonl	77	4	7	7	7	0	done
P1.EX.034	C	29d361e9-822f-425a-9d39-10ac1aca8798.jsonl	235	24	21	6	6	0	done
P1.EX.035	C	2a59a100-2a84-4f75-8fa1-b65f07d96e25.jsonl	58	1	3	4	4	0	done
P1.EX.036	C	2c2507ac-7c3b-47d5-8c3a-0946a735ff0b.jsonl	53	2	2	0	0	0	done
P1.EX.037	C	2f623bdd-a2f2-4b37-abac-cb5703041433.jsonl	2	0	0	0	0	0	done
P1.EX.038	C	2f6b56db-f146-4079-b23b-65f9755911ce.jsonl	1014	22	69	284	284	0	done
P1.EX.039	C	2f8eee46-2595-4a8d-a1d3-6726e216102f.jsonl	676	19	27	119	119	0	done
P1.EX.040	C	3169106b-5a63-42e7-9997-f7c57a05550b.jsonl	698	63	55	8	8	0	done
P1.EX.041	C	3327ceb5-d6ab-48c4-ad82-67c41e60b351.jsonl	2179	140	382	653	653	0	done
P1.EX.042	C	34fbfb2f-741d-4b44-ba8c-aa9b28ab6f9a.jsonl	891	69	120	246	246	0	done
P1.EX.043	C	373d8fec-39a7-450b-a648-3df04e21bb28.jsonl	1308	31	79	215	215	0	done
P1.EX.044	C	3a446d62-4a98-42d0-a225-643aaef6cce0.jsonl	13	4	0	0	0	0	done
P1.EX.045	C	3a506496-4622-46d9-9ec0-11e909ea6fdd.jsonl	350	8	50	71	71	0	done
P1.EX.046	C	44213247-5190-46d8-9bb4-41f274328155.jsonl	82	2	5	8	8	0	done
P1.EX.047	C	49e38849-af53-455d-8588-b2fd42836ea4.jsonl	268	23	23	11	11	0	done
P1.EX.048	C	49eecc56-d6c1-4fb8-af0b-86ea5862f3d5.jsonl	762	32	81	137	137	0	done
P1.EX.049	C	4b73e14e-d47a-446d-88f7-7830a83d0049.jsonl	4	2	0	0	0	0	done
P1.EX.050	C	4e229c07-e9e8-4ca8-b6fe-2824286b1a1b.jsonl	70	8	14	13	13	0	done
P1.EX.051	C	4e8e244f-3e9d-4a64-8bb5-31db6c198800.jsonl	19	1	1	0	0	0	done
P1.EX.052	C	4ebffa9c-ffa3-482c-97e5-b3bafac62c66.jsonl	26	2	2	3	3	0	done
P1.EX.053	C	507e1672-294b-4f08-9db5-b76f5b4f12dd.jsonl	629	22	50	107	107	0	done
P1.EX.054	C	5116a0c7-9381-416f-8255-c530b6a4958a.jsonl	5001	164	508	795	795	0	done
P1.EX.055	C	53ad0a8d-1559-452d-ae71-f62621215c5b.jsonl	2183	48	185	361	366	0	done
P1.EX.056	C	5428381a-2fc0-406f-9aa7-f9bb15e41a1b.jsonl	2763	59	277	730	730	0	done
P1.EX.057	C	5706c400-97a2-4203-b280-81b908c3fe4d.jsonl	730	23	54	142	142	0	done
P1.EX.058	C	5c1ede59-cf31-44b1-8321-2e8ae3fb4ddb.jsonl	1305	36	94	252	252	0	done
P1.EX.059	C	5c7671d8-9fd1-4b6a-b511-e9159c0aaf41.jsonl	5	1	0	0	0	0	done
P1.EX.060	C	5dfe7cdf-2dff-49b6-a023-556ef9f5b8a3.jsonl	2131	153	300	657	657	0	done
P1.EX.061	C	5e2939ac-00ed-4e94-aab5-f715b5287ed0.jsonl	2369	136	178	477	477	0	done
P1.EX.062	C	5eb51ee1-ff7f-4e55-bec9-69301a25d4ca.jsonl	889	30	109	157	157	0	done
P1.EX.063	C	5fcf08a5-6f94-4122-80e3-d6b4eda2c6e6.jsonl	640	46	76	94	94	0	done
P1.EX.064	C	60db8048-875e-4c9f-b80f-321b65203639.jsonl	4	2	0	0	0	0	done
P1.EX.065	C	60f1e6fd-3450-4295-ac46-7c54b341d28a.jsonl	589	23	102	198	198	0	done
P1.EX.066	C	6341abe3-9d46-4dbd-8ada-bfac6dc49a1b.jsonl	939	50	97	163	163	0	done
P1.EX.067	C	659b47bf-e1e6-4820-a5a5-8439ab3f9617.jsonl	367	11	39	79	79	0	done
P1.EX.068	C	68cc5929-518c-446d-84f0-dc42e258f2ba.jsonl	2865	67	227	568	568	0	done
P1.EX.069	C	694f2eb9-aa8b-4dbc-abea-470812352ab4.jsonl	73	3	9	8	8	0	done
P1.EX.070	C	6d498666-029d-4a0f-acec-87545c72ad7e.jsonl	934	17	89	177	177	0	done
P1.EX.071	C	6dbf5aa0-b539-4ef6-b682-fa1d381dee13.jsonl	131	12	18	32	32	0	done
P1.EX.072	C	6ef2d4ca-13a0-4884-b32f-d64eda1c0f31.jsonl	12	2	0	0	0	0	done
P1.EX.073	C	6fd3b9fd-5e5a-433b-9c3e-640eecab34ff.jsonl	5451	204	566	1069	1069	0	done
P1.EX.074	C	7035d9ce-9933-48a2-a509-c3d27802340b.jsonl	27	4	4	0	0	0	done
P1.EX.075	C	70f3b26a-005f-4fb2-9461-c9958da7315b.jsonl	2218	198	330	593	593	0	done
P1.EX.076	C	7408019a-7dea-4c5c-ae0a-2a736b179576.jsonl	194	9	16	19	19	0	done
P1.EX.077	C	74587bb1-2452-4718-9ddb-91dcf04506c7.jsonl	8	1	0	0	0	0	done
P1.EX.078	C	75adee94-a48c-4f26-a744-a1d6754142e4.jsonl	1260	91	206	336	336	0	done
P1.EX.079	C	76327556-4f2b-4a98-8b7f-e5a3a9a96525.jsonl	27	1	1	0	0	0	done
P1.EX.080	C	7a154dcd-fd72-4ad7-b610-d17ab8ae0798.jsonl	731	22	81	125	125	0	done
P1.EX.081	C	7c9bff32-d857-49b6-8b93-600a47ed789d.jsonl	8	1	0	0	0	0	done
P1.EX.082	C	7dde3f08-0f78-4eeb-b9b8-1741f7e3bd73.jsonl	1254	41	158	232	232	0	done
P1.EX.083	C	80d71c59-cc25-47fa-8d7c-b82269a2c152.jsonl	5634	133	372	1586	1586	0	done
P1.EX.084	C	858a8291-7461-40ff-a0a2-a5e18427eba5.jsonl	1526	125	214	402	402	0	done
P1.EX.085	C	8b3685dc-ac91-4fe9-aba8-948f47e7a7d4.jsonl	286	18	34	84	84	0	done
P1.EX.086	C	9189ced3-3878-45ee-8f80-71642092f498.jsonl	270	10	14	14	14	0	done
P1.EX.087	C	92a2a5fc-cf99-472e-b8bf-5f001168fe3a.jsonl	1101	51	113	244	244	0	done
P1.EX.088	C	94aba610-3d8d-44e6-a2f1-851adf205f85.jsonl	522	15	67	76	76	0	done
P1.EX.089	C	95606158-9ca1-4beb-8b13-769f29589b33.jsonl	1206	31	42	226	226	0	done
P1.EX.090	C	96e42b6e-b48a-428a-9be1-740520686be8.jsonl	41	2	2	0	0	0	done
P1.EX.091	C	97706886-6b8f-4c10-a3eb-d308b8b91af2.jsonl	11	2	0	0	0	0	done
P1.EX.092	C	97c5121b-8f28-4157-ae48-6815a4432205.jsonl	112	7	6	0	0	0	done
P1.EX.093	C	9a8ab1d4-ee06-4a24-823d-6ba1f4d39bf2.jsonl	13484	30	119	254	254	0	done
P1.EX.094	C	9bacaa19-5b50-4f48-b584-e5f2a5f2ce70.jsonl	115	6	5	7	7	0	done
P1.EX.095	C	9c86f9e5-ff73-468b-8473-daa867f42443.jsonl	901	41	105	158	158	0	done
P1.EX.096	C	9fd8d0c7-765c-4a05-84b6-cb1879721cc9.jsonl	50	3	5	4	4	0	done
P1.EX.097	C	a0764698-7c22-4de1-83d4-1ac1a338353a.jsonl	7090	302	693	1390	1415	0	done
P1.EX.098	C	a96e2bb4-63fb-4fe3-8b18-25faa132eebe.jsonl	329	20	27	50	50	0	done
P1.EX.099	C	a9c72dd6-da55-4bc8-a2dc-b796f8861d03.jsonl	145	15	7	8	8	0	done
P1.EX.100	C	ae0d7b3b-c9d5-4e69-bcd6-b9330c228afc.jsonl	206	12	16	28	28	0	done
P1.EX.101	C	b04384c8-7c5f-458c-a489-a82f3db6eddd.jsonl	383	39	33	5	5	0	done
P1.EX.102	C	b09168df-7710-4cca-ab1a-dd9f63e6e38b.jsonl	1087	54	130	135	135	0	done
P1.EX.103	C	b09e38f3-f448-4b3a-afb3-9067fff8cb75.jsonl	85	3	8	8	8	0	done
P1.EX.104	C	b2019784-230b-448b-8cc1-7a14c5a89344.jsonl	3539	215	580	1055	1055	0	done
P1.EX.105	C	b4d3d650-e87d-4744-a801-878a3721936d.jsonl	1430	154	220	317	317	0	done
P1.EX.106	C	b73dd933-5bf2-4b1e-8cef-50320983af2b.jsonl	2211	55	179	453	453	0	done
P1.EX.107	C	ba19e2dd-f6b9-4909-babf-d090c197be01.jsonl	16	4	0	0	0	0	done
P1.EX.108	C	bb410a17-7f9a-4cdb-a692-d5ae27989308.jsonl	1060	20	144	218	218	0	done
P1.EX.109	C	bbc4435c-5ac5-4a16-8ca9-281fde582d48.jsonl	4864	195	398	976	999	0	done
P1.EX.110	C	bbd13c70-9a63-412a-a774-7f7f00666d9b.jsonl	36	2	2	1	1	0	done
P1.EX.111	C	bd0304c8-bf7b-4e26-ab74-9948cbedb8e3.jsonl	2888	30	199	728	728	0	done
P1.EX.112	C	bf31a4ee-e284-4127-b68e-05ccca8c4ed5.jsonl	28	4	0	0	0	0	done
P1.EX.113	C	bffd2c37-cf30-4594-af3b-cec93097edac.jsonl	175	6	21	18	18	0	done
P1.EX.114	C	c0720b88-c5ef-46b1-9d7d-0ba5a429a4b0.jsonl	1036	37	151	361	361	0	done
P1.EX.115	C	c20ea713-06ed-489f-8879-3ce15c850068.jsonl	1345	29	135	347	347	0	done
P1.EX.116	C	c339c452-38d3-4192-b6fa-c250406adafe.jsonl	787	72	103	193	193	0	done
P1.EX.117	C	c3bd9dda-62a3-4e39-a8c9-8a6b225f6c48.jsonl	1959	173	291	535	535	0	done
P1.EX.118	C	c5afd106-f3ae-400a-a60c-d1b64bc36f4d.jsonl	111	2	14	18	18	0	done
P1.EX.119	C	c6358920-9c60-4140-bc61-37db47392904.jsonl	4424	61	123	882	882	0	done
P1.EX.120	C	c67b9e16-ea52-43ed-940b-bfbbcc3bc8a3.jsonl	1164	47	123	230	230	0	done
P1.EX.121	C	c97f9916-0335-4977-9fe9-ce8a7641d927.jsonl	12	6	0	0	0	0	done
P1.EX.122	C	c99db8f9-3e33-461a-8972-7e80968694bf.jsonl	1414	21	167	350	350	0	done
P1.EX.123	C	c9b853be-f86a-4349-9e42-6d40a4f2d0cf.jsonl	1061	24	43	49	49	0	done
P1.EX.124	C	cd013707-5129-4192-91fe-a7562c2c60bd.jsonl	116	5	4	48	48	0	done
P1.EX.125	C	cdd5685d-c7bf-4f32-b2ac-d71f837ba156.jsonl	7	2	0	0	0	0	done
P1.EX.126	C	d27f3264-bde5-4b5d-b23e-1d52f01b67df.jsonl	8	2	0	0	0	0	done
P1.EX.127	C	d3d7e7f3-8d2a-4168-b42e-6432d473e0fe.jsonl	1027	39	92	119	119	0	done
P1.EX.128	C	d45f4eff-d909-4ad0-9a3e-84adc2cd4974.jsonl	2394	251	398	581	581	0	done
P1.EX.129	C	d5f5e0eb-54d7-4a72-ada5-ed9dcbeb77b9.jsonl	1410	36	119	265	265	0	done
P1.EX.130	C	d85f4ddf-0bfd-4e0a-adcd-a62bcbc7c445.jsonl	1081	20	84	224	224	0	done
P1.EX.131	C	d94db003-7f40-4b7f-b488-38afaf38eeb9.jsonl	437	34	55	125	125	0	done
P1.EX.132	C	da78509b-70a6-4779-8d40-9d0eb7fa31d7.jsonl	986	59	94	114	114	0	done
P1.EX.133	C	da984c34-e47c-47f6-9165-552e70c0bdb0.jsonl	18	1	0	0	0	0	done
P1.EX.134	C	daa2bc8c-775b-4acd-957a-25a47d0dffb4.jsonl	73	3	3	0	0	0	done
P1.EX.135	C	dcda3221-6230-4b7b-8a5e-39b1cea3da15.jsonl	22	1	1	0	0	0	done
P1.EX.136	C	ddad560a-9d43-4e35-815a-5982dd328b54.jsonl	1252	50	119	270	270	0	done
P1.EX.137	C	ddf02e9e-c232-4171-a994-efb286ea70cc.jsonl	182	15	13	57	57	0	done
P1.EX.138	C	df1971d7-70c6-401d-b466-6a2872869b05.jsonl	179	18	27	38	38	0	done
P1.EX.139	C	e6b0c711-8ee2-4f63-9f44-ffaa08906ea4.jsonl	30	2	1	1	1	0	done
P1.EX.140	C	e9666f84-6568-4ce2-99bd-566230aa7c08.jsonl	1344	62	121	202	202	0	done
P1.EX.141	C	eacc1083-de2d-4219-8988-76fd0e15cf53.jsonl	82	8	11	20	20	0	done
P1.EX.142	C	ecb3c78c-8e15-4411-8c16-746282e38107.jsonl	155	7	9	32	32	0	done
P1.EX.143	C	f25e5e8a-6f12-4eb1-892c-6e5e1e537bac.jsonl	289	12	29	52	52	0	done
P1.EX.144	C	f6166956-ab00-4854-9bd2-04a8fba7d460.jsonl	253	15	30	42	42	0	done
P1.EX.145	C	f771598e-344e-46b7-9a24-9c4007c4bc8b.jsonl	6	2	0	0	0	0	done
P1.EX.146	C	f7a5972f-2e19-45d3-815e-fefc4479cdcc.jsonl	722	15	56	143	143	0	done
P1.EX.147	C	fa5f14a2-134a-4e64-96f5-f948db323bf5.jsonl	665	13	49	171	171	0	done
P1.EX.148	C	fab52053-5503-4f89-9a49-492c427ac5d5.jsonl	1557	69	170	323	323	0	done
P1.EX.149	C	fbd2d649-4a0f-4ae4-bef7-763240b21b68.jsonl	26	3	1	0	0	0	done
P1.EX.150	C	fdd2f418-754e-453f-b91e-dd6452f6bfbf.jsonl	2202	98	225	486	486	0	done
P1.EX.151	D	2eb2e01a-9610-4648-ad4f-4bfb4c638245.jsonl	745	9	58	205	205	0	done
P1.EX.152	D	dc3068cc-e82a-4659-8bb1-e1b8b28d6d06.jsonl	2473	101	249	478	478	0	done
P1.EX.153	D	f2bb643e-8e9c-413c-82cc-47ab1fc85bed.jsonl	227	10	23	39	39	0	done
P1.EX.154	E	2a1bff76-a67f-4234-82e4-949db29ae909.jsonl	8	1	0	0	0	0	done
P1.EX.155	E	3f6667af-a71b-4366-b18a-270be4cace52.jsonl	56	8	5	0	0	0	done
P1.EX.156	E	5b5cf62a-1156-47f4-b5eb-79f73cfc4dbb.jsonl	5333	80	654	1145	1145	0	done
P1.EX.157	E	7e4a532c-5a97-4838-9d91-c708ec7d8295.jsonl	2998	145	286	638	638	0	done
P1.EX.158	E	995f2623-118b-4513-8486-fd900427a044.jsonl	8	1	0	0	0	0	done
P1.EX.159	E	b75f9651-6f88-4b95-9910-7391ab36415c.jsonl	35	7	2	0	0	0	done
P1.EX.160	F	e1700ad7-cf7a-4838-a9b3-1ac9d8ec65d1.jsonl	1259	45	100	323	323	0	done
