code	dir	file	bytes	lines	size_class	chunk_needed	chunk_count
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	10aedc0c-cf83-4041-b7bb-6cee81ab27dc.jsonl	13309588	2325	huge	1	2
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	110c1190-82aa-4b23-84a1-7600796c5a83.jsonl	982613	98	med	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	1535f738-8602-4408-871e-7ca21d444904.jsonl	5087002	862	large	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	15655181-d856-4044-b5dd-7b9bcaddf353.jsonl	209163	93	small	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	1a61398e-000b-44ca-a571-574de1ae9b73.jsonl	1926007	954	med	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	1c3d2b50-6cd3-44d9-b05c-b0082f565b51.jsonl	6065819	1930	large	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	2243fda0-7fa6-4283-b6af-13506d834ee2.jsonl	3033	8	tiny	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	23c2898e-e996-4090-ae8b-188917f20f27.jsonl	32575160	2673	huge	1	2
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	24a5d05a-47a0-489a-a23d-d54529016eed.jsonl	4212	9	tiny	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	27bfc299-c0dc-4351-9e1a-d8111b297ebd.jsonl	102399	77	small	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	29d361e9-822f-425a-9d39-10ac1aca8798.jsonl	872881	235	med	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	2a59a100-2a84-4f75-8fa1-b65f07d96e25.jsonl	104458	58	small	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	2c2507ac-7c3b-47d5-8c3a-0946a735ff0b.jsonl	64939	53	small	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	2f623bdd-a2f2-4b37-abac-cb5703041433.jsonl	224	2	tiny	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	2f6b56db-f146-4079-b23b-65f9755911ce.jsonl	2200363	1014	med	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	2f8eee46-2595-4a8d-a1d3-6726e216102f.jsonl	1109101	676	med	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	3169106b-5a63-42e7-9997-f7c57a05550b.jsonl	881621	698	med	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	3327ceb5-d6ab-48c4-ad82-67c41e60b351.jsonl	18210849	2179	huge	1	2
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	34fbfb2f-741d-4b44-ba8c-aa9b28ab6f9a.jsonl	10400247	891	huge	1	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	373d8fec-39a7-450b-a648-3df04e21bb28.jsonl	2044260	1308	med	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	3a446d62-4a98-42d0-a225-643aaef6cce0.jsonl	5256	13	tiny	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	3a506496-4622-46d9-9ec0-11e909ea6fdd.jsonl	1261272	350	med	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	44213247-5190-46d8-9bb4-41f274328155.jsonl	151944	82	small	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	49e38849-af53-455d-8588-b2fd42836ea4.jsonl	386504	268	small	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	49eecc56-d6c1-4fb8-af0b-86ea5862f3d5.jsonl	2331462	762	med	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	4b73e14e-d47a-446d-88f7-7830a83d0049.jsonl	1886	4	tiny	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	4e229c07-e9e8-4ca8-b6fe-2824286b1a1b.jsonl	137597	70	small	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	4e8e244f-3e9d-4a64-8bb5-31db6c198800.jsonl	26830	19	tiny	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	4ebffa9c-ffa3-482c-97e5-b3bafac62c66.jsonl	54339	26	small	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	507e1672-294b-4f08-9db5-b76f5b4f12dd.jsonl	1093147	629	med	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	5116a0c7-9381-416f-8255-c530b6a4958a.jsonl	13468340	5001	huge	1	3
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	53ad0a8d-1559-452d-ae71-f62621215c5b.jsonl	10396681	2183	huge	1	2
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	5428381a-2fc0-406f-9aa7-f9bb15e41a1b.jsonl	12324070	2763	huge	1	2
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	5706c400-97a2-4203-b280-81b908c3fe4d.jsonl	1461278	730	med	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	5c1ede59-cf31-44b1-8321-2e8ae3fb4ddb.jsonl	3869740	1305	large	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	5c7671d8-9fd1-4b6a-b511-e9159c0aaf41.jsonl	2139	5	tiny	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	5dfe7cdf-2dff-49b6-a023-556ef9f5b8a3.jsonl	51476232	2131	huge	1	2
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	5e2939ac-00ed-4e94-aab5-f715b5287ed0.jsonl	5720724	2369	large	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	5eb51ee1-ff7f-4e55-bec9-69301a25d4ca.jsonl	2469344	889	med	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	5fcf08a5-6f94-4122-80e3-d6b4eda2c6e6.jsonl	1498516	640	med	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	60db8048-875e-4c9f-b80f-321b65203639.jsonl	1886	4	tiny	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	60f1e6fd-3450-4295-ac46-7c54b341d28a.jsonl	3196915	589	large	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	6341abe3-9d46-4dbd-8ada-bfac6dc49a1b.jsonl	4307350	939	large	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	659b47bf-e1e6-4820-a5a5-8439ab3f9617.jsonl	545082	367	med	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	68cc5929-518c-446d-84f0-dc42e258f2ba.jsonl	8059231	2865	large	1	2
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	694f2eb9-aa8b-4dbc-abea-470812352ab4.jsonl	182659	73	small	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	6d498666-029d-4a0f-acec-87545c72ad7e.jsonl	1762650	934	med	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	6dbf5aa0-b539-4ef6-b682-fa1d381dee13.jsonl	505755	131	small	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	6ef2d4ca-13a0-4884-b32f-d64eda1c0f31.jsonl	5222	12	tiny	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	6fd3b9fd-5e5a-433b-9c3e-640eecab34ff.jsonl	15821525	5451	huge	1	3
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	7035d9ce-9933-48a2-a509-c3d27802340b.jsonl	46066	27	tiny	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	70f3b26a-005f-4fb2-9461-c9958da7315b.jsonl	10954367	2218	huge	1	2
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	7408019a-7dea-4c5c-ae0a-2a736b179576.jsonl	471891	194	small	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	74587bb1-2452-4718-9ddb-91dcf04506c7.jsonl	2984	8	tiny	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	75adee94-a48c-4f26-a744-a1d6754142e4.jsonl	5433229	1260	large	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	76327556-4f2b-4a98-8b7f-e5a3a9a96525.jsonl	29211	27	tiny	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	7a154dcd-fd72-4ad7-b610-d17ab8ae0798.jsonl	2044971	731	med	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	7c9bff32-d857-49b6-8b93-600a47ed789d.jsonl	3906	8	tiny	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	7dde3f08-0f78-4eeb-b9b8-1741f7e3bd73.jsonl	3541370	1254	large	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	80d71c59-cc25-47fa-8d7c-b82269a2c152.jsonl	13145630	5634	huge	1	3
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	858a8291-7461-40ff-a0a2-a5e18427eba5.jsonl	18663183	1526	huge	1	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	8b3685dc-ac91-4fe9-aba8-948f47e7a7d4.jsonl	1662895	286	med	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	9189ced3-3878-45ee-8f80-71642092f498.jsonl	846666	270	med	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	92a2a5fc-cf99-472e-b8bf-5f001168fe3a.jsonl	3066976	1101	med	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	94aba610-3d8d-44e6-a2f1-851adf205f85.jsonl	948050	522	med	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	95606158-9ca1-4beb-8b13-769f29589b33.jsonl	3981018	1206	large	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	96e42b6e-b48a-428a-9be1-740520686be8.jsonl	69649	41	small	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	97706886-6b8f-4c10-a3eb-d308b8b91af2.jsonl	3422	11	tiny	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	97c5121b-8f28-4157-ae48-6815a4432205.jsonl	167225	112	small	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	9a8ab1d4-ee06-4a24-823d-6ba1f4d39bf2.jsonl	3527860	13484	large	1	7
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	9bacaa19-5b50-4f48-b584-e5f2a5f2ce70.jsonl	125460	115	small	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	9c86f9e5-ff73-468b-8473-daa867f42443.jsonl	3428097	901	large	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	9fd8d0c7-765c-4a05-84b6-cb1879721cc9.jsonl	73040	50	small	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	a0764698-7c22-4de1-83d4-1ac1a338353a.jsonl	27007831	7090	huge	1	4
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	a96e2bb4-63fb-4fe3-8b18-25faa132eebe.jsonl	560468	329	med	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	a9c72dd6-da55-4bc8-a2dc-b796f8861d03.jsonl	271463	145	small	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	ae0d7b3b-c9d5-4e69-bcd6-b9330c228afc.jsonl	261481	206	small	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	b04384c8-7c5f-458c-a489-a82f3db6eddd.jsonl	1232817	383	med	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	b09168df-7710-4cca-ab1a-dd9f63e6e38b.jsonl	3291440	1087	large	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	b09e38f3-f448-4b3a-afb3-9067fff8cb75.jsonl	110135	85	small	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	b2019784-230b-448b-8cc1-7a14c5a89344.jsonl	16114179	3539	huge	1	2
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	b4d3d650-e87d-4744-a801-878a3721936d.jsonl	16816475	1430	huge	1	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	b73dd933-5bf2-4b1e-8cef-50320983af2b.jsonl	4494995	2211	large	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	ba19e2dd-f6b9-4909-babf-d090c197be01.jsonl	8162	16	tiny	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	bb410a17-7f9a-4cdb-a692-d5ae27989308.jsonl	3162064	1060	large	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	bbc4435c-5ac5-4a16-8ca9-281fde582d48.jsonl	11521131	4864	huge	1	3
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	bbd13c70-9a63-412a-a774-7f7f00666d9b.jsonl	81594	36	small	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	bd0304c8-bf7b-4e26-ab74-9948cbedb8e3.jsonl	6764512	2888	large	1	2
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	bf31a4ee-e284-4127-b68e-05ccca8c4ed5.jsonl	44148	28	tiny	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	bffd2c37-cf30-4594-af3b-cec93097edac.jsonl	265563	175	small	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	c0720b88-c5ef-46b1-9d7d-0ba5a429a4b0.jsonl	5195684	1036	large	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	c20ea713-06ed-489f-8879-3ce15c850068.jsonl	7900793	1345	large	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	c339c452-38d3-4192-b6fa-c250406adafe.jsonl	8050175	787	large	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	c3bd9dda-62a3-4e39-a8c9-8a6b225f6c48.jsonl	14972362	1959	huge	1	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	c5afd106-f3ae-400a-a60c-d1b64bc36f4d.jsonl	246813	111	small	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	c6358920-9c60-4140-bc61-37db47392904.jsonl	10862930	4424	huge	1	3
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	c67b9e16-ea52-43ed-940b-bfbbcc3bc8a3.jsonl	3605065	1164	large	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	c97f9916-0335-4977-9fe9-ce8a7641d927.jsonl	5892	12	tiny	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	c99db8f9-3e33-461a-8972-7e80968694bf.jsonl	2858957	1414	med	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	c9b853be-f86a-4349-9e42-6d40a4f2d0cf.jsonl	2874142	1061	med	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	cd013707-5129-4192-91fe-a7562c2c60bd.jsonl	279863	116	small	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	cdd5685d-c7bf-4f32-b2ac-d71f837ba156.jsonl	2949	7	tiny	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	d27f3264-bde5-4b5d-b23e-1d52f01b67df.jsonl	3033	8	tiny	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	d3d7e7f3-8d2a-4168-b42e-6432d473e0fe.jsonl	1922234	1027	med	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	d45f4eff-d909-4ad0-9a3e-84adc2cd4974.jsonl	13164867	2394	huge	1	2
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	d5f5e0eb-54d7-4a72-ada5-ed9dcbeb77b9.jsonl	4227624	1410	large	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	d85f4ddf-0bfd-4e0a-adcd-a62bcbc7c445.jsonl	1781910	1081	med	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	d94db003-7f40-4b7f-b488-38afaf38eeb9.jsonl	3612272	437	large	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	da78509b-70a6-4779-8d40-9d0eb7fa31d7.jsonl	4490248	986	large	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	da984c34-e47c-47f6-9165-552e70c0bdb0.jsonl	40611	18	tiny	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	daa2bc8c-775b-4acd-957a-25a47d0dffb4.jsonl	113971	73	small	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	dcda3221-6230-4b7b-8a5e-39b1cea3da15.jsonl	41675	22	tiny	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	ddad560a-9d43-4e35-815a-5982dd328b54.jsonl	2689719	1252	med	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	ddf02e9e-c232-4171-a994-efb286ea70cc.jsonl	530147	182	med	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	df1971d7-70c6-401d-b466-6a2872869b05.jsonl	3227673	179	large	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	e6b0c711-8ee2-4f63-9f44-ffaa08906ea4.jsonl	67954	30	small	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	e9666f84-6568-4ce2-99bd-566230aa7c08.jsonl	4781296	1344	large	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	eacc1083-de2d-4219-8988-76fd0e15cf53.jsonl	593022	82	med	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	ecb3c78c-8e15-4411-8c16-746282e38107.jsonl	339821	155	small	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	f25e5e8a-6f12-4eb1-892c-6e5e1e537bac.jsonl	2436592	289	med	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	f6166956-ab00-4854-9bd2-04a8fba7d460.jsonl	456088	253	small	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	f771598e-344e-46b7-9a24-9c4007c4bc8b.jsonl	3018	6	tiny	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	f7a5972f-2e19-45d3-815e-fefc4479cdcc.jsonl	1257726	722	med	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	fa5f14a2-134a-4e64-96f5-f948db323bf5.jsonl	1248018	665	med	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	fab52053-5503-4f89-9a49-492c427ac5d5.jsonl	7810757	1557	large	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	fbd2d649-4a0f-4ae4-bef7-763240b21b68.jsonl	47390	26	tiny	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	fdd2f418-754e-453f-b91e-dd6452f6bfbf.jsonl	4756957	2202	large	0	1
D	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3--claude-worktrees-fix-guest-web-origin-env	2eb2e01a-9610-4648-ad4f-4bfb4c638245.jsonl	1339058	745	med	0	1
D	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3--claude-worktrees-fix-guest-web-origin-env	dc3068cc-e82a-4659-8bb1-e1b8b28d6d06.jsonl	7621751	2473	large	0	1
D	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3--claude-worktrees-fix-guest-web-origin-env	f2bb643e-8e9c-413c-82cc-47ab1fc85bed.jsonl	372811	227	small	0	1
E	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3--claude-worktrees-invitation-design-config	2a1bff76-a67f-4234-82e4-949db29ae909.jsonl	3015	8	tiny	0	1
E	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3--claude-worktrees-invitation-design-config	3f6667af-a71b-4366-b18a-270be4cace52.jsonl	4985280	56	large	0	1
E	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3--claude-worktrees-invitation-design-config	5b5cf62a-1156-47f4-b5eb-79f73cfc4dbb.jsonl	23869714	5333	huge	1	3
E	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3--claude-worktrees-invitation-design-config	7e4a532c-5a97-4838-9d91-c708ec7d8295.jsonl	14994674	2998	huge	1	2
E	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3--claude-worktrees-invitation-design-config	995f2623-118b-4513-8486-fd900427a044.jsonl	3015	8	tiny	0	1
E	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3--claude-worktrees-invitation-design-config	b75f9651-6f88-4b95-9910-7391ab36415c.jsonl	1534531	35	med	0	1
F	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3--claude-worktrees-lounge-check-in-rename	e1700ad7-cf7a-4838-a9b3-1ac9d8ec65d1.jsonl	2969571	1259	med	0	1
